City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,east london,-33.0153,27.9116,295.03,83,13,6.15,ZA,1677812630
1,igarka,67.4667,86.5833,264.18,92,100,8.85,RU,1677812630
2,muskogee,35.5834,-95.3336,287.19,93,100,5.14,US,1677812631
3,isangel,-19.55,169.2667,300.19,88,100,10.63,VU,1677812631
4,ushuaia,-54.8,-68.3,278.96,70,40,12.35,AR,1677812507
5,carnarvon,-24.8667,113.6333,303.17,61,0,3.66,AU,1677812631
6,doctor juan manuel frutos,-25.3667,-55.8,293.66,99,100,1.85,PY,1677812633
7,saint george,37.1041,-113.5841,280.34,44,0,3.09,US,1677812533
8,port alfred,-33.5906,26.891,292.69,95,4,7.05,ZA,1677812633
9,kapaa,22.0752,-159.319,297.33,69,100,9.26,US,1677812634
10,yellowknife,62.456,-114.3525,258.44,78,100,4.12,CA,1677812635
11,tuktoyaktuk,69.4541,-133.0374,239.15,75,0,4.12,CA,1677812635
12,nicoya,10.1483,-85.452,297.36,72,40,0.63,CR,1677812636
13,albany,42.6001,-73.9662,275.14,75,27,0.89,US,1677812331
14,cape town,-33.9258,18.4232,290.99,93,0,3.09,ZA,1677812435
15,havoysund,70.9963,24.6622,274.28,73,93,8.69,NO,1677812636
16,butaritari,3.0707,172.7902,300.86,80,100,6.7,KI,1677812637
17,kendari,-3.945,122.4989,304.05,60,92,0.9,ID,1677812637
18,zhoucheng,35.9122,116.3117,288.04,31,100,4.74,CN,1677812638
19,khatanga,71.9667,102.5,256.32,96,100,4.5,RU,1677812638
20,rikitea,-23.1203,-134.9692,299.85,73,98,3.7,PF,1677812639
21,barrow,71.2906,-156.7887,245.16,76,0,3.6,US,1677812639
22,jamestown,42.097,-79.2353,274.27,96,100,1.34,US,1677812640
23,kihei,20.785,-156.4656,294.99,90,100,6.17,US,1677812640
24,puerto ayora,-0.7393,-90.3518,298.46,94,83,0.6,EC,1677812641
25,nioro,13.35,-15.75,299.69,15,2,4.35,GM,1677812641
26,san andres,12.5847,-81.7006,299.16,78,20,4.12,CO,1677812414
27,cidreira,-30.1811,-50.2056,297.36,86,100,5.31,BR,1677812643
28,coahuayana,18.7333,-103.6833,294.14,81,65,0.15,MX,1677812643
29,kruisfontein,-34.0033,24.7314,290.31,91,1,2.2,ZA,1677812644
30,monte patria,-30.6919,-70.9467,294.69,63,48,1.19,CL,1677812644
31,tokuyama,34.05,131.8167,281.94,49,1,2.09,JP,1677812645
32,atasu,48.6814,71.6433,270.9,97,100,3.11,KZ,1677812646
33,ozernovskiy,51.5,156.5167,266.84,93,100,8.66,RU,1677812646
34,pisco,-13.7,-76.2167,296.18,73,0,2.57,PE,1677812647
35,mataura,-46.1927,168.8643,289.53,63,83,4.08,NZ,1677812648
36,labuhan,-6.8844,112.2051,301.23,71,80,2.55,ID,1677812648
37,lagoa,39.05,-27.9833,288.09,77,100,7.69,PT,1677812649
38,minot,48.2325,-101.2963,270.21,83,12,5.35,US,1677812540
39,arraial do cabo,-22.9661,-42.0278,297.65,91,69,8.64,BR,1677812650
40,thompson,55.7435,-97.8558,259.24,78,75,2.06,CA,1677812651
41,esperance,-33.8667,121.9,300.33,42,13,2.87,AU,1677812651
42,vaini,-21.2,-175.2,303.24,79,75,5.66,TO,1677812652
43,mahebourg,-20.4081,57.7,298.29,94,40,1.54,MU,1677812652
44,grand forks,47.9417,-97.4337,263.11,85,75,7.2,US,1677812653
45,port macquarie,-31.4333,152.9167,299.76,58,36,4.76,AU,1677812392
46,coihaique,-45.5752,-72.0662,287.12,77,75,3.6,CL,1677812628
47,hobart,-42.8794,147.3294,294.29,48,20,4.63,AU,1677812474
48,svetlogorsk,52.6333,29.7333,272.72,90,100,5.02,BY,1677812654
49,verkhovazhye,60.7472,42.0465,264.43,97,100,1.63,RU,1677812654
50,tiznit,29.5833,-9.5,286.91,92,99,3.2,MA,1677812655
51,nabire,-3.3667,135.4833,298.26,83,100,1.29,ID,1677812656
52,atuona,-9.8,-139.0333,299.89,78,12,8.02,PF,1677812657
53,lebu,-37.6167,-73.65,287.94,87,100,6.59,CL,1677812657
54,san cristobal,7.7669,-72.225,295.25,76,46,1.06,VE,1677812658
55,alibag,18.6411,72.8792,301.19,42,0,1.79,IN,1677812658
56,springbok,-29.6643,17.8865,286.69,87,9,1.15,ZA,1677812659
57,hilo,19.7297,-155.09,295.0,87,100,2.68,US,1677812659
58,estelle,29.8458,-90.1067,298.15,88,100,7.2,US,1677812660
59,mwinilunga,-11.7358,24.4293,288.64,97,99,1.25,ZM,1677812661
60,hithadhoo,-0.6,73.0833,300.2,76,95,2.21,MV,1677812661
61,punta arenas,-53.15,-70.9167,277.21,87,75,7.72,CL,1677812564
62,klaksvik,62.2266,-6.589,278.66,84,74,7.22,FO,1677812662
63,bandar-e lengeh,26.5579,54.8807,291.21,100,0,4.12,IR,1677812663
64,new norfolk,-42.7826,147.0587,294.1,33,5,1.34,AU,1677812663
65,hermanus,-34.4187,19.2345,292.98,80,0,3.36,ZA,1677812664
66,avera,33.194,-82.5271,291.14,85,100,1.62,US,1677812664
67,nouadhibou,20.931,-17.0347,291.14,82,5,9.26,MR,1677812665
68,inta,66.0317,60.1659,252.49,98,99,4.58,RU,1677812665
69,upernavik,72.7868,-56.1549,246.6,89,71,7.19,GL,1677812666
70,airai,-8.9266,125.4092,292.35,79,98,1.64,TL,1677812666
71,bosaso,11.2842,49.1816,297.12,78,1,2.46,SO,1677812667
72,port hedland,-20.3167,118.5667,308.18,59,91,7.72,AU,1677812490
73,brooks,50.5834,-111.8851,274.14,63,100,7.72,CA,1677812668
74,cabo san lucas,22.8909,-109.9124,291.27,72,10,0.58,MX,1677812488
75,myanaung,18.2833,95.3167,304.57,19,0,0.83,MM,1677812669
76,kahului,20.8947,-156.47,294.99,89,100,6.17,US,1677812628
77,waipawa,-41.4122,175.5153,295.85,57,8,3.15,NZ,1677812670
78,sur,22.5667,59.5289,296.75,72,10,2.45,OM,1677812671
79,chokurdakh,70.6333,147.9167,238.14,96,66,2.1,RU,1677812671
80,severo-kurilsk,50.6789,156.125,268.76,92,100,11.87,RU,1677812671
81,busselton,-33.65,115.3333,300.23,54,0,4.62,AU,1677812672
82,bluff,-46.6,168.3333,289.71,83,100,9.04,NZ,1677812673
83,sao jose da coroa grande,-8.8978,-35.1478,299.07,82,21,3.8,BR,1677812673
84,talnakh,69.4865,88.3972,263.46,95,100,4.1,RU,1677812674
85,stockerau,48.383,16.1996,277.31,72,15,1.05,AT,1677812674
86,ostrovnoy,68.0531,39.5131,259.2,98,95,3.15,RU,1677812675
87,lavrentiya,65.5833,-171.0,244.84,96,39,0.58,RU,1677812676
88,porto novo,6.4965,2.6036,302.05,85,24,2.71,BJ,1677812677
89,leh,34.1667,77.5833,264.27,91,93,1.17,IN,1677812678
90,rawson,-43.3002,-65.1023,295.54,44,90,5.07,AR,1677812678
91,kodiak,57.79,-152.4072,269.88,50,0,9.77,US,1677812679
92,saint-philippe,-21.3585,55.7679,296.92,81,100,1.71,RE,1677812679
93,kavieng,-2.5744,150.7967,301.18,78,91,5.41,PG,1677812679
94,huarmey,-10.0681,-78.1522,296.27,83,100,3.65,PE,1677812319
95,samarai,-10.6167,150.6667,301.57,77,98,9.09,PG,1677812680
96,port elizabeth,-33.918,25.5701,294.31,99,20,3.6,ZA,1677812417
97,karimganj,24.8667,92.35,299.08,32,0,1.96,IN,1677812680
98,bethel,41.3712,-73.414,278.35,70,0,4.12,US,1677812681
99,tasiilaq,65.6145,-37.6368,275.24,89,98,2.94,GL,1677812681
100,dieppe,49.75,1.1667,275.48,93,4,3.29,FR,1677812682
101,sao joao da barra,-21.6403,-41.0511,297.83,89,40,6.18,BR,1677812677
102,disna,55.568,28.1971,271.15,92,24,5.5,BY,1677812682
103,atar,20.5169,-13.0499,292.9,23,0,3.98,MR,1677812550
104,qaqortoq,60.7167,-46.0333,278.67,60,95,15.08,GL,1677812683
105,atambua,-9.1061,124.8925,298.12,81,100,1.94,ID,1677812683
106,coquimbo,-29.9533,-71.3436,291.0,82,100,1.54,CL,1677812684
107,dwarka,22.2394,68.9678,297.5,67,0,3.91,IN,1677812684
108,nikolskoye,59.7035,30.7861,273.1,90,100,3.3,RU,1677812684
109,mae sai,20.4335,99.8762,301.19,29,0,1.43,TH,1677812685
110,mar del plata,-38.0023,-57.5575,293.2,87,0,3.6,AR,1677812409
111,torbay,47.6666,-52.7314,267.91,75,20,12.86,CA,1677812686
112,palmer,42.1584,-72.3287,276.8,65,75,4.12,US,1677812686
113,zharkent,44.1628,80.0,277.49,38,78,0.8,KZ,1677812686
114,azul,-36.777,-59.8585,293.25,65,4,4.05,AR,1677812687
115,cap-aux-meules,47.3821,-61.8597,264.18,86,40,3.6,CA,1677812687
116,rio verde de mato grosso,-18.9181,-54.8442,296.67,85,100,2.2,BR,1677812687
117,codrington,-38.2667,141.9667,291.22,52,73,7.51,AU,1677812688
118,burnie,-41.0667,145.9167,292.56,57,77,2.69,AU,1677812688
119,cherskiy,68.75,161.3,243.55,91,100,2.5,RU,1677812689
