City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto ayora,-0.7393,-90.3518,25.86,93,71,1.21,EC,1677896989
1,namibe,-15.1961,12.1522,19.42,79,1,3.08,AO,1677897051
2,ushuaia,-54.8,-68.3,2.81,93,100,6.17,AR,1677896981
3,hilo,19.7297,-155.09,21.45,89,75,3.6,US,1677896976
4,cape town,-33.9258,18.4232,20.77,83,20,2.06,ZA,1677896993
5,mahebourg,-20.4081,57.7,25.7,94,40,0.0,MU,1677897071
6,mataura,-46.1927,168.8643,13.6,71,97,2.93,NZ,1677896979
7,qasigiannguit,68.8193,-51.1922,-2.86,89,98,1.34,GL,1677897083
8,ormond beach,29.2858,-81.0559,25.13,63,0,3.09,US,1677897322
9,rawson,-43.3002,-65.1023,15.05,44,0,3.76,AR,1677897323
10,bambous virieux,-20.3428,57.7575,25.68,94,40,0.0,MU,1677897010
11,lebu,-37.6167,-73.65,13.6,85,0,7.85,CL,1677896987
12,geraldton,-28.7667,114.6,26.23,65,75,9.26,AU,1677897034
13,half moon bay,37.4636,-122.4286,11.34,75,0,8.23,US,1677897156
14,kapaa,22.0752,-159.319,26.18,77,75,6.69,US,1677896906
15,busselton,-33.65,115.3333,22.35,52,17,5.38,AU,1677896995
16,karaton,-6.3424,106.1045,27.6,72,68,3.2,ID,1677897324
17,qaanaaq,77.484,-69.3632,-18.16,44,16,4.01,GL,1677897024
18,punta arenas,-53.15,-70.9167,4.06,87,40,7.72,CL,1677896773
19,upernavik,72.7868,-56.1549,-20.06,87,66,3.7,GL,1677896843
20,atuona,-9.8,-139.0333,26.79,81,11,7.31,PF,1677897026
21,buala,-8.145,159.5921,27.59,80,100,4.26,SB,1677897325
22,hithadhoo,-0.6,73.0833,27.26,74,85,4.5,MV,1677897073
23,faanui,-16.4833,-151.75,27.95,70,22,0.66,PF,1677897170
24,broadford,-37.2,145.0667,27.53,28,100,5.0,AU,1677897325
25,barrow,71.2906,-156.7887,-28.99,83,40,1.54,US,1677896978
26,nyurba,63.2842,118.3319,-5.22,90,55,4.14,RU,1677897077
27,bengkulu,-3.8004,102.2655,26.4,78,98,2.52,ID,1677897326
28,vaini,-21.2,-175.2,29.09,79,75,4.12,TO,1677896990
29,nizhneangarsk,55.7833,109.55,-4.02,90,100,0.88,RU,1677897137
30,new norfolk,-42.7826,147.0587,21.07,43,72,0.89,AU,1677896978
31,seoul,37.5683,126.9778,8.76,61,75,2.06,KR,1677897036
